Cluster_ID,host
Cluster3274,Hipposideros cineraceus
Cluster3741,Hipposideros cineraceus
Cluster3906,Hipposideros cineraceus
Cluster4919,Hipposideros cineraceus
Cluster5069,Hipposideros cineraceus
Cluster5799,Hipposideros cineraceus
Cluster6226,Hipposideros cineraceus
Cluster6430,Hipposideros cineraceus
Cluster6614,Hipposideros cineraceus
Cluster7498,Hipposideros cineraceus
Cluster8254,Hipposideros cineraceus
Cluster9312,Hipposideros cineraceus
Cluster9406,Hipposideros cineraceus
Cluster10884,Hipposideros cineraceus
Cluster11201,Hipposideros cineraceus
Cluster12620,Hipposideros cineraceus
Cluster12715,Hipposideros cineraceus
Cluster42,Hipposideros larvatus
Cluster88,Hipposideros larvatus
Cluster98,Hipposideros larvatus
Cluster106,Hipposideros larvatus
Cluster139,Hipposideros larvatus
