Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Epomops buettikoferi,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,175
Glauconycteris variegata,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,176
Hipposideros galeritus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,177
Macroglossus minimus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,178
Myotis crypticus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,179
Myotis punicus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,180
Myotis welwitschii,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,181
Pteropus dasymallus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,182
Pteropus poliocephalus,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,183
Triaenops menamena,1,0,0,2,0.0,0.0,0.0,0.0,1.098612,0.065254,0.006944,184
Acerodon celebensis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,185
Artibeus cinereus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,186
Cardioderma cor,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,187
Carollia sowelli,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,188
Chaerephon leucogaster,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,189
Falsistrellus mackenziei,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,190
Gardnerycteris crenulatum,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,191
Glauconycteris poensis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,192
Hipposideros bicolor,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,193
Hipposideros cervinus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,194
Hipposideros commersoni,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,195
Hipposideros terasensis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,196
Hypsugo alaschanicus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,197
Lichonycteris obscura,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,198
Macroglossus sobrinus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,199
Megaerops ecaudatus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,200
Megaerops kusnotoi,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,201
Megaerops niphanae,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,202
Mesophylla macconnelli,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,203
Miniopterus africanus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,204
Molossus currentium,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,205
Murina cyclotis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,206
Murina huttoni,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,207
Myonycteris angolensis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,208
Myotis bechsteinii,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,209
Myotis flavus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,210
Myotis muricola,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,211
Myotis oxygnathus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,212
Nanonycteris veldkampii,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,213
Neoromicia somalica,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,214
Nyctalus leisleri,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,215
Nyctalus velutinus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,216
Nycteris tragata,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,217
Phyllostomus hastatus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,218
Platyrrhinus lineatus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,219
Ptenochirus jagori,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,220
Rhinolophus creaghi,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,221
Rhinolophus megaphyllus,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,222
Rhinolophus smithersi,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,223
Rhinonicteris aurantia,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,224
Scotophilus nux,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,225
Sturnira erythromos,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,226
Tadarida brasiliensis,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,227
Tylonycteris fulvida,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,228
Vespadelus baverstocki,1,0,0,1,0.0,0.0,0.0,0.0,0.693147,0.0,0.0,229
